date,vehicle_category,day_of_week,month,is_weekend,is_holiday,weather,season,competitor_base_price,utilization_rate,rental_duration_days,daily_rental_price
2022-10-31,SUV,Monday,10,0,0,Sunny,Fall,86.87,56.4,2,86.5
2022-03-23,Midsize,Wednesday,3,0,1,Sunny,Spring,50.6,84.6,2,89.99
2022-07-30,Midsize,Saturday,7,1,0,Rainy,Summer,53.97,87.3,7,81.69
2024-04-12,Luxury,Friday,4,1,0,Rainy,Spring,122.16,92.0,14,143.52
2023-04-30,Pickup,Sunday,4,1,0,Sunny,Spring,75.38,82.2,6,110.7
2022-12-29,SUV,Thursday,12,0,0,Sunny,Winter,84.06,60.3,5,109.81
2023-11-12,Pickup,Sunday,11,1,0,Snowy,Fall,71.24,70.1,6,108.12
2023-05-24,Midsize,Wednesday,5,0,0,Sunny,Spring,50.8,34.1,5,61.21
2024-02-23,Pickup,Friday,2,1,0,Sunny,Winter,68.76,54.8,3,89.25
2023-02-13,Pickup,Monday,2,0,0,Snowy,Winter,74.78,56.5,2,85.1
2023-04-12,Compact,Wednesday,4,0,0,Sunny,Spring,40.22,66.5,1,64.35
2023-11-04,Midsize,Saturday,11,1,0,Stormy,Fall,58.54,67.1,30,61.62
2023-07-26,Midsize,Wednesday,7,0,0,Rainy,Summer,50.52,70.4,3,66.45
2023-11-10,Economy,Friday,11,1,0,Sunny,Fall,32.54,71.7,30,51.38
2023-01-01,Luxury,Sunday,1,1,1,Foggy,Winter,125.44,96.1,2,183.7
2022-08-11,Luxury,Thursday,8,0,0,Cloudy,Summer,129.19,74.4,5,152.0
2023-10-05,SUV,Thursday,10,0,0,Rainy,Fall,89.41,59.1,3,83.32
2024-02-28,Luxury,Wednesday,2,0,0,Sunny,Winter,123.79,55.3,1,131.49
2024-06-12,Economy,Wednesday,6,0,0,Cloudy,Summer,29.75,79.6,6,51.28
2023-02-08,Midsize,Wednesday,2,0,0,Cloudy,Winter,58.75,66.5,14,62.2
2023-11-08,Luxury,Wednesday,11,0,0,Sunny,Fall,122.91,64.4,7,126.03
2023-09-08,Luxury,Friday,9,1,0,Sunny,Fall,135.4,70.6,3,152.06
2024-04-04,Minivan,Thursday,4,0,0,Sunny,Spring,66.99,63.9,1,88.27
2024-05-11,Minivan,Saturday,5,1,0,Snowy,Spring,74.12,73.3,5,100.88
2022-12-23,Luxury,Friday,12,1,0,Cloudy,Winter,134.07,78.2,3,162.4
2022-01-01,Midsize,Saturday,1,1,1,Sunny,Winter,59.01,100.0,3,113.72
2023-10-22,SUV,Sunday,10,1,0,Cloudy,Fall,79.6,70.1,5,105.59
2024-11-12,SUV,Tuesday,11,0,0,Rainy,Fall,74.87,63.8,14,79.78
2022-12-14,Minivan,Wednesday,12,0,0,Sunny,Winter,74.37,84.3,3,87.56
2023-11-18,Economy,Saturday,11,1,0,Stormy,Fall,31.72,67.0,6,34.25
2023-09-28,Compact,Thursday,9,0,0,Stormy,Fall,42.49,69.2,1,42.02
2022-04-05,Compact,Tuesday,4,0,0,Foggy,Spring,43.39,67.2,4,43.51
2022-05-30,SUV,Monday,5,0,0,Cloudy,Spring,75.58,43.3,4,91.7
2023-02-03,Minivan,Friday,2,1,0,Rainy,Winter,73.57,64.2,3,72.15
2023-05-15,Compact,Monday,5,0,0,Rainy,Spring,38.44,64.9,1,48.22
2022-08-07,Pickup,Sunday,8,1,0,Cloudy,Summer,67.78,88.4,1,104.21
2024-11-26,SUV,Tuesday,11,0,0,Sunny,Fall,75.81,65.7,2,97.24
2022-09-06,SUV,Tuesday,9,0,1,Sunny,Fall,75.94,63.1,3,109.98
2024-12-23,Luxury,Monday,12,0,0,Cloudy,Winter,135.54,63.7,14,141.61
2024-06-25,Luxury,Tuesday,6,0,0,Stormy,Summer,118.19,75.9,7,121.69
2024-05-23,Pickup,Thursday,5,0,0,Snowy,Spring,72.17,60.6,3,88.86
2022-11-22,Minivan,Tuesday,11,0,0,Stormy,Fall,68.23,63.8,3,52.18
2023-05-22,Pickup,Monday,5,0,0,Rainy,Spring,76.55,63.9,6,68.02
2024-12-03,SUV,Tuesday,12,0,0,Rainy,Winter,80.44,75.9,2,90.86
2022-06-08,Minivan,Wednesday,6,0,0,Sunny,Summer,65.1,72.6,2,90.92
2023-10-17,Luxury,Tuesday,10,0,0,Sunny,Fall,139.83,62.0,1,128.38
2024-02-24,Minivan,Saturday,2,1,0,Sunny,Winter,74.61,93.2,2,92.55
2024-04-29,SUV,Monday,4,0,0,Sunny,Spring,85.34,83.2,3,98.89
2022-05-08,Compact,Sunday,5,1,0,Stormy,Spring,41.82,71.1,3,48.78
2022-02-10,Pickup,Thursday,2,0,0,Snowy,Winter,74.83,56.3,4,86.77
2024-09-03,Economy,Tuesday,9,0,0,Snowy,Fall,31.81,69.5,2,38.83
2024-03-09,Pickup,Saturday,3,1,0,Snowy,Spring,67.46,85.2,7,122.95
2023-03-28,SUV,Tuesday,3,0,0,Sunny,Spring,79.44,71.9,3,107.0
2022-03-01,SUV,Tuesday,3,0,0,Sunny,Spring,77.19,56.8,5,110.02
2024-04-08,Minivan,Monday,4,0,0,Sunny,Spring,74.14,65.4,3,79.2
2022-09-19,Luxury,Monday,9,0,0,Cloudy,Fall,135.49,46.3,14,123.74
2022-02-25,Economy,Friday,2,1,0,Rainy,Winter,34.82,73.0,1,42.77
2024-08-03,Compact,Saturday,8,1,0,Sunny,Summer,40.94,77.2,2,74.45
2023-03-10,SUV,Friday,3,1,0,Sunny,Spring,75.56,80.0,6,120.92
2024-02-16,Midsize,Friday,2,1,0,Rainy,Winter,60.0,70.8,7,65.3
2023-06-01,Pickup,Thursday,6,0,0,Sunny,Summer,76.86,73.1,1,94.56
2022-04-17,Midsize,Sunday,4,1,0,Sunny,Spring,51.12,80.2,1,87.34
2022-03-24,Pickup,Thursday,3,0,0,Sunny,Spring,69.51,77.8,2,97.2
2022-02-11,Luxury,Friday,2,1,0,Sunny,Winter,124.72,73.5,1,149.03
2022-08-23,Luxury,Tuesday,8,0,0,Snowy,Summer,128.58,74.4,3,172.93
2023-06-09,Pickup,Friday,6,1,0,Cloudy,Summer,77.99,100.0,4,110.36
2022-08-23,Pickup,Tuesday,8,0,0,Stormy,Summer,78.32,65.3,30,71.13
2022-08-10,Luxury,Wednesday,8,0,0,Sunny,Summer,116.89,77.2,2,159.01
2024-02-08,SUV,Thursday,2,0,0,Snowy,Winter,85.47,59.5,1,102.04
2023-05-13,Economy,Saturday,5,1,0,Rainy,Spring,29.14,83.5,2,38.12
2022-09-05,Pickup,Monday,9,0,0,Foggy,Fall,71.73,67.1,6,64.29
2023-12-13,Luxury,Wednesday,12,0,0,Cloudy,Winter,124.49,81.0,2,137.11
2024-11-02,Minivan,Saturday,11,1,0,Sunny,Fall,67.31,82.9,7,92.28
2024-09-30,Economy,Monday,9,0,0,Cloudy,Fall,34.7,46.4,2,38.31
2024-07-30,Minivan,Tuesday,7,0,0,Sunny,Summer,68.1,73.4,1,90.64
2024-12-04,Minivan,Wednesday,12,0,0,Sunny,Winter,66.44,58.6,6,86.18
2024-09-17,SUV,Tuesday,9,0,0,Cloudy,Fall,75.86,52.4,5,88.92
2023-07-04,Midsize,Tuesday,7,0,0,Stormy,Summer,53.33,72.9,7,62.09
2022-06-27,Midsize,Monday,6,0,0,Snowy,Summer,56.61,68.4,2,81.14
2024-08-09,Luxury,Friday,8,1,0,Rainy,Summer,117.17,80.7,2,152.25
2022-02-28,SUV,Monday,2,0,0,Stormy,Winter,77.41,48.5,1,67.73
2023-03-11,Midsize,Saturday,3,1,0,Rainy,Spring,53.52,98.2,2,76.02
2023-07-20,Luxury,Thursday,7,0,0,Sunny,Summer,117.14,79.7,14,166.15
2022-06-25,Compact,Saturday,6,1,0,Rainy,Summer,37.98,89.1,3,64.43
2023-05-08,Minivan,Monday,5,0,0,Cloudy,Spring,72.53,54.1,5,69.53
2024-07-06,Pickup,Saturday,7,1,0,Sunny,Summer,69.25,87.8,2,111.18
2024-04-08,Minivan,Monday,4,0,0,Sunny,Spring,70.13,61.0,5,72.52
2024-01-26,SUV,Friday,1,1,0,Cloudy,Winter,86.14,86.0,2,117.11
2023-11-09,Midsize,Thursday,11,0,1,Rainy,Fall,55.02,69.1,2,70.99
2023-05-30,Compact,Tuesday,5,0,0,Sunny,Spring,40.77,48.3,1,52.76
2022-09-02,Minivan,Friday,9,1,0,Cloudy,Fall,65.68,69.3,6,79.48
2023-01-15,Compact,Sunday,1,1,0,Sunny,Winter,39.81,77.6,3,66.64
2024-12-10,Luxury,Tuesday,12,0,0,Sunny,Winter,119.05,72.1,1,153.94
2023-02-02,Midsize,Thursday,2,0,0,Sunny,Winter,56.73,62.9,1,73.22
2022-01-29,Minivan,Saturday,1,1,0,Cloudy,Winter,63.36,100.0,2,100.58
2022-04-22,Luxury,Friday,4,1,1,Sunny,Spring,133.94,86.7,14,202.85
2024-10-02,Economy,Wednesday,10,0,0,Stormy,Fall,30.74,71.2,4,26.22
2024-08-19,SUV,Monday,8,0,0,Cloudy,Summer,83.43,60.8,1,104.57
2022-04-16,Midsize,Saturday,4,1,0,Snowy,Spring,50.84,78.8,3,92.68
2022-05-14,SUV,Saturday,5,1,0,Cloudy,Spring,77.16,70.3,4,103.85
2022-04-20,Compact,Wednesday,4,0,0,Sunny,Spring,38.68,46.0,4,58.53
2023-09-15,Economy,Friday,9,1,0,Foggy,Fall,34.9,68.9,1,36.8
2024-05-02,Luxury,Thursday,5,0,0,Cloudy,Spring,139.27,64.9,4,125.91
2024-12-06,SUV,Friday,12,1,0,Cloudy,Winter,78.65,85.4,3,112.6
2024-05-28,Midsize,Tuesday,5,0,0,Cloudy,Spring,59.28,77.5,1,66.87
2022-07-23,Pickup,Saturday,7,1,0,Sunny,Summer,70.21,84.7,2,121.23
2022-06-16,Compact,Thursday,6,0,0,Sunny,Summer,39.83,77.8,4,54.7
2022-11-17,Economy,Thursday,11,0,0,Cloudy,Fall,30.49,65.1,5,37.26
2024-08-20,Midsize,Tuesday,8,0,0,Sunny,Summer,52.74,64.3,2,80.25
2023-08-03,Minivan,Thursday,8,0,0,Stormy,Summer,68.38,70.4,1,68.21
2023-04-24,Midsize,Monday,4,0,0,Rainy,Spring,53.23,61.2,4,63.38
2023-02-10,SUV,Friday,2,1,0,Sunny,Winter,85.13,75.0,2,114.01
2022-11-02,Midsize,Wednesday,11,0,0,Stormy,Fall,54.61,45.8,1,44.39
2022-12-06,Pickup,Tuesday,12,0,0,Sunny,Winter,79.04,73.3,5,91.13
2023-08-15,SUV,Tuesday,8,0,0,Sunny,Summer,89.06,77.3,5,118.55
2024-04-04,Midsize,Thursday,4,0,0,Cloudy,Spring,58.39,72.0,3,67.86
2022-06-14,Luxury,Tuesday,6,0,0,Sunny,Summer,121.0,70.9,3,156.19
2023-10-23,Luxury,Monday,10,0,0,Sunny,Fall,135.59,62.3,1,135.78
2022-02-12,Pickup,Saturday,2,1,0,Rainy,Winter,71.28,72.8,2,87.96
2022-03-24,Pickup,Thursday,3,0,0,Rainy,Spring,77.51,53.0,3,74.68
2024-06-24,Midsize,Monday,6,0,0,Sunny,Summer,54.52,80.4,4,74.81
2024-10-04,Economy,Friday,10,1,0,Cloudy,Fall,32.04,73.4,3,44.66
2023-10-20,Minivan,Friday,10,1,0,Sunny,Fall,67.14,77.9,1,86.36
2024-04-23,Minivan,Tuesday,4,0,1,Cloudy,Spring,70.21,70.3,5,96.4
2024-03-31,Pickup,Sunday,3,1,0,Rainy,Spring,68.29,83.3,1,93.75
2022-06-30,Midsize,Thursday,6,0,1,Sunny,Summer,55.24,93.7,1,100.48
2024-04-07,Pickup,Sunday,4,1,0,Cloudy,Spring,68.46,70.5,30,94.29
2024-08-04,SUV,Sunday,8,1,0,Sunny,Summer,86.08,87.0,3,131.3
2024-10-17,Minivan,Thursday,10,0,0,Cloudy,Fall,71.97,60.2,1,73.78
2023-07-01,Luxury,Saturday,7,1,0,Sunny,Summer,135.75,87.8,2,189.35
2024-09-19,Economy,Thursday,9,0,0,Sunny,Fall,33.79,59.6,4,41.72
2023-05-06,Minivan,Saturday,5,1,0,Sunny,Spring,71.46,82.0,4,95.87
2024-04-15,Economy,Monday,4,0,0,Sunny,Spring,33.18,52.9,7,46.72
2022-08-21,SUV,Sunday,8,1,0,Snowy,Summer,79.99,72.2,4,146.82
2022-11-12,SUV,Saturday,11,1,0,Snowy,Fall,81.77,76.4,2,132.16
2023-07-14,SUV,Friday,7,1,0,Stormy,Summer,84.06,85.8,30,99.39
2023-05-15,SUV,Monday,5,0,0,Cloudy,Spring,85.36,61.7,3,87.05
2024-11-06,Minivan,Wednesday,11,0,0,Stormy,Fall,64.19,75.1,7,58.71
2023-07-20,Pickup,Thursday,7,0,0,Rainy,Summer,72.17,77.1,3,85.67
2024-11-05,Midsize,Tuesday,11,0,0,Stormy,Fall,59.24,53.3,2,48.52
2023-09-04,Pickup,Monday,9,0,0,Cloudy,Fall,79.79,80.3,30,75.43
2024-09-29,Pickup,Sunday,9,1,0,Sunny,Fall,71.83,70.7,4,93.89
2023-12-08,Midsize,Friday,12,1,0,Cloudy,Winter,57.99,88.2,4,73.3
2024-07-21,Midsize,Sunday,7,1,0,Stormy,Summer,59.18,76.1,30,64.59
2023-05-05,Luxury,Friday,5,1,0,Cloudy,Spring,133.75,58.8,7,139.51
2024-04-21,Economy,Sunday,4,1,1,Sunny,Spring,31.74,94.7,3,66.01
2024-02-20,SUV,Tuesday,2,0,0,Foggy,Winter,82.33,67.6,6,76.19
2022-11-08,SUV,Tuesday,11,0,0,Foggy,Fall,80.24,76.0,1,80.69
2023-11-11,Pickup,Saturday,11,1,0,Sunny,Fall,66.58,66.9,7,101.17
2022-07-24,Luxury,Sunday,7,1,0,Snowy,Summer,139.07,84.2,1,193.19
2022-10-23,SUV,Sunday,10,1,0,Stormy,Fall,76.01,72.0,30,82.63
2022-06-03,SUV,Friday,6,1,0,Rainy,Summer,83.81,85.1,2,111.3
2024-03-25,Minivan,Monday,3,0,0,Sunny,Spring,64.93,65.1,2,80.73
2024-12-28,SUV,Saturday,12,1,0,Foggy,Winter,77.62,86.0,4,106.26
2024-09-26,Pickup,Thursday,9,0,0,Cloudy,Fall,74.08,74.1,4,67.97
2023-04-26,Minivan,Wednesday,4,0,0,Rainy,Spring,67.87,76.0,2,61.05
2023-04-11,Minivan,Tuesday,4,0,0,Sunny,Spring,64.23,69.6,30,80.9
2022-07-25,SUV,Monday,7,0,0,Sunny,Summer,89.18,60.7,2,108.09
2022-03-01,Economy,Tuesday,3,0,0,Sunny,Spring,32.88,64.4,1,46.41
2024-01-05,Midsize,Friday,1,1,0,Cloudy,Winter,51.39,88.9,2,85.87
2024-04-23,Luxury,Tuesday,4,0,1,Rainy,Spring,116.84,76.5,1,147.31
2022-12-25,Economy,Sunday,12,1,1,Rainy,Winter,33.05,96.8,3,61.35
2023-05-09,SUV,Tuesday,5,0,0,Snowy,Spring,84.69,58.4,1,99.49
2024-08-02,Minivan,Friday,8,1,0,Sunny,Summer,65.35,90.6,2,104.78
2022-01-20,Pickup,Thursday,1,0,0,Cloudy,Winter,77.69,85.6,2,85.35
2022-11-20,Economy,Sunday,11,1,0,Cloudy,Fall,30.27,76.7,2,45.12
2023-09-05,Minivan,Tuesday,9,0,0,Foggy,Fall,62.42,47.8,5,66.76
2024-07-24,Pickup,Wednesday,7,0,0,Sunny,Summer,78.54,67.8,30,99.06
2024-09-16,Economy,Monday,9,0,0,Sunny,Fall,30.59,70.5,4,35.44
2023-08-29,Minivan,Tuesday,8,0,0,Sunny,Summer,65.67,63.2,30,95.37
2024-03-21,Midsize,Thursday,3,0,0,Sunny,Spring,55.43,55.3,7,72.94
2022-04-11,Luxury,Monday,4,0,0,Rainy,Spring,138.77,61.6,7,121.82
2023-08-10,Pickup,Thursday,8,0,0,Rainy,Summer,78.21,83.4,4,85.21
2023-12-23,Compact,Saturday,12,1,0,Rainy,Winter,43.47,83.3,4,62.29
2022-10-08,Minivan,Saturday,10,1,0,Sunny,Fall,65.68,92.2,4,93.48
2022-03-22,Midsize,Tuesday,3,0,0,Rainy,Spring,52.43,68.7,1,61.29
2024-01-18,Minivan,Thursday,1,0,0,Sunny,Winter,74.8,62.1,14,88.38
2023-11-01,Minivan,Wednesday,11,0,0,Cloudy,Fall,65.72,61.6,2,64.08
2024-01-20,Luxury,Saturday,1,1,0,Cloudy,Winter,122.72,100.0,2,173.57
2022-12-03,Midsize,Saturday,12,1,0,Snowy,Winter,58.26,88.3,14,102.63
2023-08-28,Minivan,Monday,8,0,0,Stormy,Summer,69.91,64.0,6,66.59
2024-08-17,Economy,Saturday,8,1,0,Sunny,Summer,34.49,75.3,30,57.89
2024-03-24,Pickup,Sunday,3,1,0,Stormy,Spring,73.46,76.4,2,78.42
2024-03-19,Economy,Tuesday,3,0,0,Sunny,Spring,32.64,62.4,1,41.73
2024-01-25,Minivan,Thursday,1,0,0,Rainy,Winter,65.93,83.2,2,71.89
2024-02-20,Pickup,Tuesday,2,0,0,Rainy,Winter,70.44,53.6,2,78.28
2023-04-24,SUV,Monday,4,0,0,Sunny,Spring,84.85,66.8,7,102.2
2023-11-03,Luxury,Friday,11,1,0,Sunny,Fall,121.32,66.2,1,152.08
2024-08-08,Minivan,Thursday,8,0,0,Sunny,Summer,68.58,62.1,3,95.31
2022-10-14,Economy,Friday,10,1,0,Snowy,Fall,33.64,70.5,2,58.44
2024-10-05,Economy,Saturday,10,1,0,Sunny,Fall,33.15,62.5,7,50.57
2022-10-05,SUV,Wednesday,10,0,0,Cloudy,Fall,87.23,65.1,5,88.9
2024-05-08,Luxury,Wednesday,5,0,0,Rainy,Spring,122.68,45.9,1,113.48
2024-04-29,Minivan,Monday,4,0,0,Sunny,Spring,63.42,65.4,3,82.36
2024-04-15,Midsize,Monday,4,0,0,Sunny,Spring,51.69,74.5,2,71.7
2024-06-27,SUV,Thursday,6,0,0,Foggy,Summer,85.9,80.1,7,98.59
2022-07-23,Minivan,Saturday,7,1,0,Cloudy,Summer,71.08,86.4,14,103.47
2024-01-05,Economy,Friday,1,1,0,Cloudy,Winter,31.96,84.9,1,52.97
2022-09-08,Pickup,Thursday,9,0,0,Stormy,Fall,68.86,69.5,1,62.29
2023-03-11,Minivan,Saturday,3,1,0,Rainy,Spring,62.68,73.9,30,89.07
2022-04-14,Pickup,Thursday,4,0,0,Sunny,Spring,78.97,78.3,30,91.53
2023-02-25,Economy,Saturday,2,1,0,Stormy,Winter,34.08,82.5,4,36.69
2023-03-19,Pickup,Sunday,3,1,0,Stormy,Spring,66.9,68.0,2,79.48
2022-10-30,Pickup,Sunday,10,1,0,Snowy,Fall,68.04,73.8,1,99.89
2022-10-24,Compact,Monday,10,0,0,Cloudy,Fall,39.95,57.9,6,47.72
2022-08-14,Minivan,Sunday,8,1,1,Stormy,Summer,66.27,100.0,1,95.56
2024-01-04,Pickup,Thursday,1,0,0,Rainy,Winter,70.74,79.4,4,82.75
2022-02-02,Compact,Wednesday,2,0,0,Sunny,Winter,42.06,60.7,1,54.76
2024-05-12,Luxury,Sunday,5,1,0,Sunny,Spring,138.55,81.8,1,151.83
2024-07-07,Pickup,Sunday,7,1,0,Cloudy,Summer,71.87,100.0,4,104.71
2024-07-14,Luxury,Sunday,7,1,0,Sunny,Summer,136.99,72.9,4,178.91
2024-12-03,Midsize,Tuesday,12,0,0,Cloudy,Winter,57.32,67.0,30,69.39
